Time,P1,P2,P3,P4,P5,P6
02-01-2022,11,7,7,12,8,13
09-01-2022,12,6,11,8,5,10
16-01-2022,10,3,8,13,13,18
23-01-2022,8,2,9,5,11,14
30-01-2022,13,7,10,9,6,8
06-02-2022,12,1,8,6,7,11
13-02-2022,14,6,7,9,9,14
20-02-2022,21,3,13,13,14,17
27-02-2022,6,3,12,13,9,13
06-03-2022,14,3,6,11,9,12
13-03-2022,11,2,14,8,11,16
20-03-2022,14,2,9,4,18,21
27-03-2022,16,6,4,5,8,13
03-04-2022,9,2,7,4,4,8
10-04-2022,9,0,12,15,13,16
17-04-2022,9,6,8,7,8,10
24-04-2022,14,2,7,11,10,15
01-05-2022,9,7,11,9,15,19
08-05-2022,3,7,10,15,6,9
15-05-2022,12,9,7,4,13,15
22-05-2022,5,4,7,6,11,14
29-05-2022,11,7,13,7,6,11
05-06-2022,7,2,11,11,10,12
12-06-2022,12,4,8,7,9,12
19-06-2022,5,5,10,9,8,10
26-06-2022,9,3,8,6,12,14
03-07-2022,7,5,14,10,8,11
10-07-2022,10,8,5,10,9,14
17-07-2022,5,5,3,2,13,18
24-07-2022,11,5,13,6,3,8
31-07-2022,7,3,11,7,5,10
07-08-2022,10,1,9,2,3,7
14-08-2022,12,3,7,5,5,9
21-08-2022,6,2,8,12,5,8
28-08-2022,5,3,7,5,9,14
04-09-2022,14,10,9,19,7,11
11-09-2022,10,5,6,8,4,9
18-09-2022,9,2,12,6,8,11
25-09-2022,12,7,12,8,8,13
02-10-2022,17,3,9,8,5,9
09-10-2022,7,2,3,12,5,8
16-10-2022,11,5,5,6,8,13
23-10-2022,4,2,6,9,7,10
30-10-2022,7,4,14,10,11,16
06-11-2022,8,5,5,3,7,9
13-11-2022,10,1,5,4,12,17
20-11-2022,12,1,7,6,6,9
27-11-2022,3,4,8,8,6,8
04-12-2022,7,5,14,14,5,8
11-12-2022,6,1,8,8,11,13
18-12-2022,5,6,8,7,8,13
25-12-2022,10,0,7,8,9,14
